County	Romney Votes	Obama Votes	Johnson Votes	Donald J. Trump	Hillary Clinton	Gary Johnson	Write-In (Miscellaneous)	Jill Stein	% College	% White
Alamance	37,712	28,342	585	38,802	29,818	1,795	496	216	21.7	75.8
Alexander	12,207	4,591	262	13,892	3,767	437	151	23	11.7	91.4
Alleghany	3,378	1,574	73	3,814	1,306	129	66	0	18.3	95.7
Anson	4,125	6,894	53	4,506	5,859	129	48	3	10.2	48.2
Ashe	8,207	4,100	179	9,413	3,500	332	180	0	19.5	97.2
Avery	5,708	1,861	88	6,298	1,689	166	73	23	20.4	93.8
Beaufort	13,919	9,388	155	14,543	8,764	426	180	25	18.3	71.8
Bertie	3,367	6,537	37	3,456	5,778	70	40	3	10.6	36
Bladen	7,736	8,044	121	8,511	7,021	211	76	0	10.5	60.7
Brunswick	34,587	21,932	466	42,717	23,282	1,717	536	96	25.1	85.4
Buncombe	54,429	70,066	1,706	55,694	75,421	4,284	1,958	1,534	33.8	89.7
Burke	22,267	13,701	444	26,238	11,251	988	324	119	16.6	86.5
Cabarrus	49,125	32,453	867	53,789	35,510	2,784	972	190	25.1	78.3
Caldwell	23,069	10,795	474	26,621	8,425	849	302	123	12.5	92.2
Camden	3,094	1,497	72	3,546	1,274	149	29	8	18.8	82
Carteret	24,598	10,197	329	26,569	9,939	913	278	82	23.9	89.8
Caswell	5,471	5,183	82	6,027	4,792	214	29	9	9	64.2
Catawba	44,386	23,954	762	48,324	21,216	1,973	685	153	21	85
Chatham	16,578	18,252	327	17,105	21,065	1,130	412	137	36.4	82.3
Cherokee	9,201	3,339	155	10,844	2,860	346	98	33	16.7	93.8
Chowan	3,872	3,507	45	4,014	2,992	162	49	11	20.1	63.2
Clay	3,952	1,573	67	4,437	1,367	143	54	9	20.6	96.9
Cleveland	25,440	16,734	368	28,479	14,965	850	305	75	16.3	76.5
Columbus	12,876	10,992	181	14,264	9,053	305	91	0	12.2	64
Craven	26,654	18,556	375	27,722	17,629	1,210	380	50	21	72.4
Cumberland	50,191	74,991	910	51,265	71,605	3,373	1,084	179	22.7	53.6
Currituck	7,431	3,521	201	9,163	2,913	482	84	27	18.4	90.7
Dare	10,102	7,258	254	11,626	7,323	690	205	52	30.6	94.1
Davidson	48,935	20,291	768	54,304	18,102	1,858	484	87	17.6	87.1
Davie	14,568	5,652	198	15,602	5,270	631	206	47	24.9	90.5
Duplin	11,330	8,923	122	12,217	8,283	260	85	0	10.4	70.4
Durham	33,626	110,653	1,342	28,314	121,166	3,995	1,996	535	45.1	53.1
Edgecombe	8,494	18,249	83	8,261	16,224	284	106	11	10.5	40.3
Forsyth	79,177	91,606	1,549	75,751	94,185	5,358	2,492	0	31.9	67.8
Franklin	14,480	13,317	262	16,368	12,874	777	296	53	17.1	69.8
Gaston	55,817	32,903	918	61,798	31,177	2,445	873	138	18	80.5
Gates	2,532	2,745	33	2,874	2,385	108	25	0	11.6	63.9
Graham	2,743	1,115	52	3,167	739	71	41	0	14.4	90.3
Granville	12,332	13,529	207	13,591	12,909	596	215	42	16.4	64.9
Greene	4,393	3,761	40	4,374	3,605	85	27	4	11.6	59.5
Guilford	103,964	145,483	2,082	98,062	149,248	6,754	2,667	674	33.2	58.8
Halifax	8,686	16,931	107	9,031	15,748	290	98	0	11.8	40.9
Harnett	25,070	16,858	415	27,614	16,737	1,252	389	73	18.5	72.3
Haywood	15,599	11,795	384	18,929	10,473	905	303	117	23.1	96.6
Henderson	32,860	18,519	582	35,807	19,827	1,626	687	227	27.7	93.1
Hertford	3,001	7,815	56	3,099	6,910	133	44	0	15.4	36.4
Hoke	6,721	9,915	164	7,759	9,725	577	140	27	17.2	50.4
Hyde	1,183	1,157	18	1,288	965	42	8	1	10.7	67.8
Iredell	49,071	25,952	739	54,754	24,734	2,185	754	140	23.9	83.2
Jackson	8,224	8,052	280	9,870	7,713	742	276	112	27.9	85.5
Johnston	48,206	27,052	763	54,372	28,362	2,347	716	112	20.4	80.5
Jones	2,825	2,335	32	2,974	2,065	59	37	0	11.1	65.5
Lee	13,000	10,577	223	13,712	10,469	684	191	28	20.2	75.5
Lenoir	13,980	13,948	136	13,381	12,091	395	162	0	14	56.5
Lincoln	25,184	10,980	368	28,806	9,897	971	305	44	19.4	91.8
Macon	10,817	5,692	241	12,127	4,876	467	228	36	20.5	95.7
Madison	5,379	4,466	178	6,783	3,926	336	103	121	18.6	96.1
Martin	5,963	6,514	64	5,897	5,846	165	47	9	11.9	54.8
McDowell	11,732	6,006	215	14,568	4,667	396	229	15	13.9	92.9
Mecklenburg	170,490	270,705	3,867	155,518	294,562	15,488	5,937	1,352	40.7	59.7
Mitchell	5,778	1,810	85	6,282	1,596	138	56	24	16.9	96.9
Montgomery	6,389	4,689	100	7,130	4,150	203	51	6	15.1	77.2
Moore	29,336	16,371	337	30,487	16,328	1,354	464	54	31.3	82.7
Nash	23,769	24,214	252	23,318	23,235	750	301	60	19.2	57.3
New Hanover	52,865	48,148	1,237	55,340	50,975	3,949	1,184	449	36.6	81.3
Northampton	3,474	7,210	35	3,582	6,144	93	29	0	9.4	39.6
Onslow	31,695	18,115	543	37,122	17,514	1,926	481	92	18	76.7
Orange	21,398	53,404	1,046	18,557	59,923	2,404	997	459	55.8	77
Pamlico	4,032	2,632	48	4,258	2,448	124	30	10	18.7	77
Pasquotank	7,602	10,208	158	8,180	8,615	442	122	32	20.1	58.1
Pender	14,368	9,455	213	17,639	9,354	683	157	52	21.7	79.3
Perquimans	3,814	2,747	60	4,177	2,319	162	43	7	18.4	73.1
Person	10,467	8,384	157	11,185	7,832	419	142	36	14.7	70.1
Pitt	35,534	40,701	579	35,691	41,824	2,162	680	170	28.1	61.1
Polk	6,219	4,000	104	6,768	3,735	272	107	52	26.9	93
Randolph	44,913	14,675	614	49,430	13,194	1,403	446	102	13.8	90
Richmond	9,236	9,747	144	10,383	8,501	333	87	24	12.4	62.7
Robeson	17,093	23,957	330	20,762	19,016	803	252	25	12.5	32.4
Rockingham	25,037	16,170	342	26,830	14,228	871	294	55	12.9	78.2
Rowan	38,622	22,529	652	42,810	19,400	1,517	564	78	17	80.3
Rutherford	18,797	9,277	299	21,869	7,515	624	261	39	17	87.3
Sampson	14,358	11,496	151	14,838	10,547	393	150	0	12.6	67.4
Scotland	5,799	8,131	90	6,256	7,319	254	73	26	14.3	46.5
Stanly	19,698	8,287	291	21,964	7,094	664	169	26	16	84.9
Stokes	15,142	5,969	285	17,116	4,665	571	173	25	13.4	94
Surry	19,753	9,005	338	23,671	7,488	739	250	48	15	93.5
Swain	2,976	2,618	111	3,566	2,196	240	92	29	16.3	65.9
Transylvania	9,522	6,740	207	10,520	6,558	489	220	82	27.6	93.3
Tyrrell	929	835	11	975	720	28	11	5	8.4	58.9
Union	60,870	32,257	902	66,705	34,335	3,327	1,176	163	31.8	83.5
Vance	7,406	13,286	78	7,332	12,229	294	97	25	11.4	46.7
Wake	209,797	264,836	6,082	196,080	302,727	19,460	7,605	1,740	48	69.3
Warren	3,111	6,635	31	3,215	6,419	147	69	0	13.5	40.8
Washington	2,615	3,811	30	2,564	3,509	65	25	1	11.7	48.1
Watauga	13,818	12,959	619	13,697	14,138	1,336	539	275	37.9	95.3
Wayne	27,536	23,154	298	27,540	21,769	963	383	33	16.4	63.6
Wilkes	20,410	8,089	353	23,752	6,638	647	228	31	12.5	93.5
Wilson	17,904	20,745	241	17,531	19,663	667	256	18	17.9	57.3
Yadkin	12,511	3,929	229	13,880	3,160	398	152	34	13.1	94.5
Yancey	5,249	3,954	141	6,385	3,196	261	77	41	17.9	96.6
